a	b	c	d	e	f	g	M1	M2	M3	M4	S1	S2	Total
0	0	0	1	1	1	0	0	0	1	1	1	1	1
0	0	0	1	1	0	1	0	0	0	0	1	0	1
0	0	0	1	1	0	0	0	0	0	1	1	1	1
0	0	0	1	0	1	1	0	0	0	0	1	0	1
0	0	0	1	0	1	0	0	0	0	1	1	1	1
0	0	0	1	0	0	1	0	0	0	0	1	0	1
0	0	0	1	0	0	0	0	0	0	1	1	1	1
0	0	0	0	1	1	1	0	0	1	0	1	1	1
0	0	0	0	1	1	0	0	0	1	1	1	1	1
0	0	0	0	1	0	1	0	0	0	0	1	0	1
0	0	0	0	1	0	0	0	0	0	1	1	1	1
0	0	0	0	0	1	1	0	0	0	0	1	0	1
0	0	0	0	0	1	0	0	0	0	1	1	1	1
0	0	0	0	0	0	1	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	1	1	1	1
-[(a*b)+(c*d)]+[(e*f)+(ÿ)]11010101110101011101010111010101110101011111111111111111111111111101010111111111111111111111111111010101111111111111111111111111
